area_id,area_name,date,map_views,search_views,directions,call_clicks,website_clicks,total_reviews,average_rating,review_count_change,location_count
area002,福井市,2025-11-01,842,356,16,8,34,341,4.5,2,3
area002,福井市,2025-11-02,1250,580,45,18,62,353,4.4,12,3
area002,福井市,2025-11-03,1100,490,38,15,55,358,4.6,5,3
area002,福井市,2025-11-04,612,245,9,3,22,358,0,0,3
area002,福井市,2025-11-05,589,231,8,2,18,359,5,1,3
area002,福井市,2025-11-06,624,258,9,4,21,359,0,0,3
area002,福井市,2025-11-07,756,312,12,6,28,362,4.3,3,3
area002,福井市,2025-11-08,1320,615,52,22,68,375,4.1,13,3
area002,福井市,2025-11-09,1280,595,48,19,65,385,4.7,10,3
area002,福井市,2025-11-10,592,238,8,3,19,385,0,0,3
area002,福井市,2025-11-11,615,251,9,2,20,386,4,1,3
area002,福井市,2025-11-12,638,264,10,4,23,386,0,0,3
area002,福井市,2025-11-13,652,272,10,5,25,386,0,0,3
area002,福井市,2025-11-14,785,345,13,7,32,388,4.5,2,3
area002,福井市,2025-11-15,1410,655,60,25,72,403,4.2,15,3
area002,福井市,2025-11-16,1380,642,55,21,69,414,4.4,11,3
area002,福井市,2025-11-17,605,242,9,3,21,414,0,0,3
area002,福井市,2025-11-18,622,255,9,4,22,415,5,1,3
area002,福井市,2025-11-19,641,268,10,5,24,415,0,0,3
area002,福井市,2025-11-20,665,285,11,6,26,415,0,0,3
area002,福井市,2025-11-21,798,362,14,8,35,419,4.2,4,3
area002,福井市,2025-11-22,1450,685,65,28,75,433,4.5,14,3
area002,福井市,2025-11-23,1420,662,62,25,72,445,4.8,12,3
area002,福井市,2025-11-24,1150,450,40,15,52,450,4.2,5,3
area002,福井市,2025-11-25,618,248,9,3,20,450,0,0,3
area002,福井市,2025-11-26,632,252,9,4,22,450,0,0,3
area002,福井市,2025-11-27,654,275,10,5,24,452,3.5,2,3
area002,福井市,2025-11-28,812,378,14,8,38,455,4.6,3,3
area002,福井市,2025-11-29,1480,710,68,30,78,470,4.4,15,3
area002,福井市,2025-11-30,1440,685,64,26,74,480,4.6,10,3
area002,福井市,2025-12-01,773,314,15,6,26,482,4,2,3
area002,福井市,2025-12-02,647,250,10,4,20,482,0,0,3
area002,福井市,2025-12-03,668,282,11,5,25,482,0,0,3
area002,福井市,2025-12-04,682,295,11,6,27,483,5,1,3
area002,福井市,2025-12-05,825,385,15,9,39,487,4.2,4,3
area002,福井市,2025-12-06,1510,725,72,32,82,500,4.3,13,3
area002,福井市,2025-12-07,1490,712,70,30,80,512,4.6,12,3
area002,福井市,2025-12-08,625,255,10,3,22,512,0,0,3
area002,福井市,2025-12-09,642,268,10,4,24,512,0,0,3
area002,福井市,2025-12-10,658,275,11,5,25,514,4.5,2,3
area002,福井市,2025-12-11,675,288,11,6,28,514,0,0,3
area002,福井市,2025-12-12,835,398,16,10,42,519,4.6,5,3
area002,福井市,2025-12-13,1550,750,78,35,85,534,4.4,15,3
area002,福井市,2025-12-14,1520,725,75,32,82,545,4.5,11,3
area002,福井市,2025-12-15,635,262,10,4,23,545,0,0,3
area002,福井市,2025-12-16,652,275,11,5,25,545,0,0,3
area002,福井市,2025-12-17,678,288,11,6,27,547,4,2,3
area002,福井市,2025-12-18,695,302,12,7,30,547,0,0,3
area002,福井市,2025-12-19,852,415,17,11,46,552,4.4,5,3
area002,福井市,2025-12-20,1600,785,85,40,92,566,4.5,14,3
area002,福井市,2025-12-21,1580,762,82,38,90,578,4.6,12,3
area002,福井市,2025-12-22,658,282,11,5,26,579,5,1,3
area002,福井市,2025-12-23,675,295,12,6,28,579,0,0,3
area002,福井市,2025-12-24,1450,650,55,25,75,592,4.6,13,3
area002,福井市,2025-12-25,1480,680,58,28,78,606,4.4,14,3
area002,福井市,2025-12-26,865,422,18,12,48,609,4.3,3,3
area002,福井市,2025-12-27,1650,815,90,45,98,624,4.6,15,3
area002,福井市,2025-12-28,1620,795,88,42,95,636,4.4,12,3
area002,福井市,2025-12-29,956,512,24,15,55,641,4.8,5,3
area002,福井市,2025-12-30,985,535,26,18,58,646,4.4,5,3
area002,福井市,2025-12-31,1350,625,50,25,72,661,4.6,15,3
